Resource provider namespace,Azure service
Microsoft.SignalRService,Azure SignalR Service
Microsoft.SoftwarePlan,License
Microsoft.Solutions,Azure Managed Applications
Microsoft.Sql,Azure SQL Database
,Azure SQL Managed Instance
,Azure Synapse Analytics
Microsoft.SqlVirtualMachine,SQL Server on Azure Virtual Machines
Microsoft.Storage,Storage
Microsoft.StorageCache,Azure HPC Cache
Microsoft.StorageSync,Storage
Microsoft.StorSimple,StorSimple
Microsoft.StreamAnalytics,Azure Stream Analytics
Microsoft.Subscription,core
microsoft.support,core
Microsoft.Synapse,Azure Synapse Analytics
Microsoft.TimeSeriesInsights,Azure Time Series Insights
Microsoft.Token,Token
Microsoft.VirtualMachineImages,Azure Image Builder
microsoft.visualstudio,Azure DevOps
Microsoft.VMware,Azure VMware Solution
Microsoft.VMwareCloudSimple,Azure VMware Solution by CloudSimple
Microsoft.VSOnline,Azure DevOps
Microsoft.Web,App Service
,Azure Functions
Microsoft.WindowsDefenderATP,Microsoft Defender Advanced Threat Protection
Microsoft.WindowsESU,Extended Security Updates
Microsoft.WindowsIoT,Windows 0 IoT Core Services
Microsoft.WorkloadMonitor,Azure Monitor
